,Upwelling,Post-Upwelling,Winter
20 Hz,,,
Oregon,0.08 (1430) ,0.37 (493),–
Humboldt,0.06 (489),0.31 (1048) ,0.09 (308) 
San Francisco,0.04 (960),0.12 (688),–
Morro Bay,0.15 (2034) ,0.54 (1353) ,–
40 Hz,,,
Oregon,0.04 (1430) ,0.20 (493),–
Humboldt,0.00 (489),0.00 (1048) ,0.00 (308) 
San Francisco,0.00 (960),0.00 (688),–
Morro Bay,0.00 (2034) ,0.09 (1353) ,–
