"","Project","DeploymentID","Site","Cruise","Status","Platform","Region","Type","Instrument_ID","GPS_Tracker","GPS_ID","GPS_Timing","Depth_Sensor","Deployment_Latitude","Deployment_Longitude","Deployment_Date","Deployment_Depth_m
","Deploy_Vessel","Recovery_Date","Recovery_Latitude","Recovery_Longitude","Retrieve_Vessel","Array_name","Number_of_Sensors","ChannelNumber_1","SensorNumber_1","ChannelNumber_2","SensorNumber_2","Data_Start","Data_End","RecordingDuration_m","RecordingInterval_m","SampleRate_kHz","Quality_Analyst","Quality_Category","Quality_LowFreq","Quality_HighFreq","Data_ID","Pressure","Acceleration","Temperature","Known Takes","SanctuaryPermit","Personnel","Notes","DutyCycle","DeployDuration_days","RecordDuration_hrs"
"11","ADRIFT",11,"SFB","ACCESS","Failed","drift","WCoastUSA","ST4300HF","5318","SPOT","K/AF","30/60","15720",37.640683,-123.1331,2021-09-25 19:36:00,50,"R/V Fullmar",2021-10-15,36.65655,-123.5215,"R/V Fairweather","P01_9296",2,1,856122,2,NA,NA,NA,"6","12",384,NA,"unusable",NA,NA,"ADRIFT_011","No","10","10",NA,"GFNMS",NA,NA,"6 min for every 12",19.1833333333333,NA
"12","ADRIFT",12,"HUM","CS220117","Complete","drift","WCoastUSA","ST4300HF","5992","SPOT","E/AH","30/60","15865",41.03348,-124.43,2022-01-18 03:16:00,100,"R/V Coral Sea",2022-01-23 18:52:00,40.86609,-124.86101,"F/V Schrimshaw","D02_9299",2,1,856162,2,"856168",2022-01-18 03:42:19,2022-01-21 19:39:12,"Continuous",NA,384,"Kourtney Burger","compromised",30,192000,"ADRIFT_012","No","10","10",NA,NA,"Blair Winnacott","Recorder battery died earlier than expected. Data has unexpected gaps (4 seconds - 6 minutes) throughout recording, see Gaps.txt in metadata folder for list","Continuous",5.65,87.9480555555556
"13","ADRIFT",13,"MOB","CALCOFI-2204SH","Complete","drift","WCoastUSA","ST640","6655","SPOT","AG/Big B/Rock 7","30/60","16546",36.049917,-122.031117,2022-04-23 20:16:00,100,"R/V Shimada",2022-05-05 16:17:00,34.99745,-122.2717,"R/V Marcus G. Langseth","E02_9299",2,1,856163,2,"856171",2022-04-23 20:44:52,2022-05-04 20:36:02,"Continuous",NA,384,"Cory Hom-Weaver","compromised",1000,192000,"ADRIFT_013",NA,"10",NA,NA,"MBNMS","Amy Hayes","Banging noise in lower frequencies, one 23 minute gap in recording","Continuous",11.8340277777778,263.852777777778
"14","ADRIFT",14,"MOB","CALCOFI-2204SH","Failed","drift","WCoastUSA","ST640","6669","SPOT","AD/U","30/60","15741",36.062133,-122.013633,2022-04-22,100,"R/V Shimada",NA,NA,NA,NA,"I02_9299",2,1,856160,2,"856174",NA,NA,"Continuous",NA,384,"Kourtney Burger","unusable",NA,NA,"ADRIFT_014",NA,NA,NA,NA,"MBNMS","Amy Hayes",NA,"Continuous",NA,NA
"15","ADRIFT",15,"SFB","ACCESS","Complete","drift","WCoastUSA","ST640","6668","SPOT and solar gps","K/AF/ROCK 7","30/60","15801",37.9643,-123.5039,2022-06-18 07:48:00,100,"R/V Shimada",2022-06-21 06:39:00,37.67826,-123.35202,"R/V Shimada","K02_9299",2,1,856154,2,"856170",2022-06-18 08:07:12,2022-06-21 06:14:36,"Continuous",NA,384,"Cory Hom-Weaver","compromised",6000,192000,"ADRIFT_015",NA,"No",NA,NA,"GFNMS / CBNMS","Jan Roletto, Dani Lipske","ACCESS Cruise delayed due to bad weather; rocker stopper was loose resulting in constant noise throughout deployment.","Continuous",2.95208333333333,70.1233333333333
"16","ADRIFT",16,"SFB","ACCESS","Unusable","drift","WCoastUSA","ST640","6671","SPOT","G/F","30/60","16528",37.80117,-123.38492,2022-06-16 22:37:00,100,"R/V Shimada",2022-06-21 03:25:00,37.37138,-123.27409,"R/V Shimada","N01_92NA96",2,1,856117,2,"856118",NA,NA,"Continuous",NA,288,"Kourtney Burger","unusable",NA,NA,"ADRIFT_016","No","No","No",NA,"GFNMS / MBNMS","Jan Roletto, Dani Lipske","ACCESS Cruise delayed due to bad weather; ST6671 was not recognized as ST640 upon deployment and never started recording","Continuous",4.2,NA
"17","ADRIFT",17,"HUM","Scrimshaw","Complete","drift","WCoastUSA","ST4300HF","5987","SPOT and solar gps","E/AH","30/60","15518",41.05788,-124.48456,2022-04-25 15:36:00,100,"F/V Scrimshaw",2022-04-28 19:17:00,40.69507,-124.52717,"F/V Scrimshaw","D02_9299",2,1,856162,2,"856168",2022-04-25 18:59:59,2022-04-28 19:22:16,"Continuous",NA,384,"Cory Hom-Weaver","good",80,192000,"ADRIFT_017","No","10","10",NA,NA,"Blair Winnacott","Testing solar gps unit. Strumming through whole drift LF noise","Continuous",3.15347222222222,72.3713888888889
"18","ADRIFT",18,"HUM","Scrimshaw","Complete","drift","WCoastUSA","ST4300HF","5989","SPOT","R/S","30/60","15817",41.05201,-124.54956,2022-04-25 16:12:00,100,"F/V Scrimshaw",2022-04-28 20:18:00,40.5795,-124.86624,"F/V Scrimshaw","C02_9299",2,1,856155,2,"856166",2022-04-25 19:59:58,2022-04-28 20:22:15,"Continuous",NA,384,"Cory Hom-Weaver","good",80,192000,"ADRIFT_018","No","10","10",NA,NA,"Blair Winnacott",NA,"Continuous",3.17083333333333,72.3713888888889
"19","ADRIFT",19,"MBY","CCC","Complete","drift","WCoastUSA","ST640","6673","SPOT and solar gps","M/N / S0-638","30/60/30","16549",35.798267,-122.190733,2022-06-21 16:24:00,100,"R/V Fulmar",2022-06-25 22:14:00,35.977217,-122.047467,"R/V Fulmar","L02_9299",2,1,856157,2,"856169",2022-06-21 16:15:00,2022-06-25 22:14:42,"Continuous",NA,384,"Cory Hom-Weaver","compromised",300,192000,"ADRIFT_019","No","10",NA,NA,NA,"Shannon Rankin, Cory Hom-Weaver, Anne Simonis","CCC Pilot Project. LF recordings are noisy but probably usable for some species","Continuous",4.24305555555556,101.995
"20","ADRIFT",20,"MBY","CCC","Complete","drift","WCoastUSA","ST640","6666","Solar","SO-135","30","16647",35.8005,-122.088867,2022-06-21 16:51:00,100,"R/V Fulmar",2022-06-25 18:06:00,35.612433,-121.9225,"R/V Fulmar","A02_9299",2,1,856156,2,"856167",2022-06-21 16:45:00,2022-06-25 17:52:13,"Continuous",NA,384,"Cory Hom-Weaver","compromised",400,192000,"ADRIFT_020","No","10",NA,NA,NA,"Shannon Rankin, Cory Hom-Weaver, Anne Simonis","CCC Pilot Project. Rocker stopper moved a lot. Noisy in LF and towards the end of the drift.","Continuous",4.05208333333333,97.1202777777778
