"UTC","species","call","DriftName"
2021-08-23 21:00:00,"Bm","B","ADRIFT_001"
2021-08-23 21:00:00,"Mn","Social","ADRIFT_001"
2021-08-23 21:00:00,"Mn","Song","ADRIFT_001"
2021-08-23 22:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-23 22:00:00,"Mn","Social","ADRIFT_001"
2021-08-23 23:00:00,"Bp","20Hz","ADRIFT_001"
2021-08-23 23:00:00,"Mn","Social","ADRIFT_001"
2021-08-23 23:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-23 23:00:00,"Bm","B","ADRIFT_001"
NA,"Bp","20Hz","ADRIFT_001"
2021-08-24,"Mn","unidentified","ADRIFT_001"
2021-08-24,"Bm","B","ADRIFT_001"
2021-08-24 01:00:00,"Mn","Social","ADRIFT_001"
2021-08-24 01:00:00,"Bm","B","ADRIFT_001"
2021-08-24 01:00:00,"Bm","A","ADRIFT_001"
2021-08-24 01:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-24 02:00:00,"Mn","Social","ADRIFT_001"
2021-08-24 02:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-24 02:00:00,"Bm","A","ADRIFT_001"
2021-08-24 02:00:00,"Bm","B","ADRIFT_001"
2021-08-24 02:00:00,"Mn","Song","ADRIFT_001"
2021-08-24 03:00:00,"Bm","B","ADRIFT_001"
2021-08-24 03:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-24 03:00:00,"Mn","Social","ADRIFT_001"
2021-08-24 04:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-24 04:00:00,"Mn","Social","ADRIFT_001"
2021-08-24 04:00:00,"Bm","B","ADRIFT_001"
2021-08-24 04:00:00,"Bm","A","ADRIFT_001"
2021-08-24 04:00:00,"Mn","Song","ADRIFT_001"
2021-08-24 05:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-24 05:00:00,"Mn","Social","ADRIFT_001"
2021-08-24 05:00:00,"Bm","A","ADRIFT_001"
2021-08-24 05:00:00,"Bm","B","ADRIFT_001"
2021-08-24 06:00:00,"Mn","Social","ADRIFT_001"
2021-08-24 06:00:00,"Bm","B","ADRIFT_001"
2021-08-24 06:00:00,"Bm","A","ADRIFT_001"
2021-08-24 06:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-24 07:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-24 07:00:00,"Mn","Social","ADRIFT_001"
2021-08-24 07:00:00,"Bm","A","ADRIFT_001"
2021-08-24 07:00:00,"Bm","B","ADRIFT_001"
2021-08-24 07:00:00,"Mn","Song","ADRIFT_001"
2021-08-24 08:00:00,"Bm","B","ADRIFT_001"
2021-08-24 08:00:00,"Bm","A","ADRIFT_001"
2021-08-24 08:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-24 08:00:00,"Mn","Song","ADRIFT_001"
2021-08-24 08:00:00,"Mn","Social","ADRIFT_001"
2021-08-24 09:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-24 09:00:00,"Mn","Song","ADRIFT_001"
2021-08-24 09:00:00,"Bm","B","ADRIFT_001"
2021-08-24 09:00:00,"Bm","A","ADRIFT_001"
2021-08-24 09:00:00,"Mn","Social","ADRIFT_001"
2021-08-24 10:00:00,"Bp","20Hz","ADRIFT_001"
2021-08-24 10:00:00,"Mn","Social","ADRIFT_001"
2021-08-24 10:00:00,"Bm","B","ADRIFT_001"
