Drift(s),TY Precise,TY Recall,TY F-Score,CSP  Precise,CSP Recall,CSP  F-Score,RN  Precise,RN Recall,RN F-Score
Adrift-027,0.8,0.55,0.65,0.58,0.8,0.67,0.45,0.72,0.55
Adrift-053-063,0.73,0.69,0.71,0.63,0.82,0.72,0.48,0.79,0.6
